filename,status,source_sheet,plot no,block/rep,bay,row,Treatment Simple,Variety,2023-11-20 00:00:00,2023-11-27 00:00:00,2023-11-30 00:00:00,2023-12-14 00:00:00,comp disp,f at break,spike angle,ped curvature ,leaf sheath cover,spike Length,spike weight,ped length,internode Length,dist from break,ped dm b,ped dm m,ped dm t,dm at node 2,freq of break at spike,brk at node 2,mean_wall_thickness_mm,median_wall_thickness_mm,mean_per_mm_intensity,median_per_mm_intensity
X-042078.tif,success,Cooke Plains 2023,3176,3,1,26,31 + 37,RGT Planet,0,0.0,0,0.0,49.518,0.64,117.6,172.0,0.3,7.18,1.092,13.34,12.56,2.9,1.638,1.4,1.04,2.014,1.0,0.0,0.3408560789102585,0.3112442919109533,2616.665178023429,2586.67908997955
X-042079.tif,success,Cooke Plains 2023,3176,3,1,26,31 + 37,RGT Planet,0,0.0,0,0.0,49.518,0.64,117.6,172.0,0.3,7.18,1.092,13.34,12.56,2.9,1.638,1.4,1.04,2.014,1.0,0.0,0.3471221195091856,0.3298594240265813,2729.5694649186826,2686.4771241830067
X-042080.tif,success,Cooke Plains 2023,3176,3,1,26,31 + 37,RGT Planet,0,0.0,0,0.0,49.518,0.64,117.6,172.0,0.3,7.18,1.092,13.34,12.56,2.9,1.638,1.4,1.04,2.014,1.0,0.0,0.3351254626902281,0.3290735656680191,2609.5802981789616,2554.2545454545457
X-042081.tif,success,Cooke Plains 2023,3179,3,1,27,31 + 37,Compass,0,0.0,0,0.0,28.734,0.384,148.0,173.4,0.2,5.1,0.904,14.0,10.28,2.175,1.41,1.3079999999999998,0.895,1.844,1.0,0.0,0.3307074528800853,0.3303026167636094,2710.8488771748534,2706.4462313190384
X-042082.tif,success,Cooke Plains 2023,3179,3,1,27,31 + 37,Compass,0,0.0,0,0.0,28.734,0.384,148.0,173.4,0.2,5.1,0.904,14.0,10.28,2.175,1.41,1.3079999999999998,0.895,1.844,1.0,0.0,0.3011014695321225,0.3038210788251267,2625.1435699456956,2657.8665374881366
X-042083.tif,success,Cooke Plains 2023,3179,3,1,27,31 + 37,Compass,0,0.0,0,0.0,28.734,0.384,148.0,173.4,0.2,5.1,0.904,14.0,10.28,2.175,1.41,1.3079999999999998,0.895,1.844,1.0,0.0,0.3446656917948499,0.3216530294361659,2678.069590353862,2652.4666666666667
X-042084.tif,success,Cooke Plains 2023,3179,3,1,27,31 + 37,Compass,0,0.0,0,0.0,28.734,0.384,148.0,173.4,0.2,5.1,0.904,14.0,10.28,2.175,1.41,1.3079999999999998,0.895,1.844,1.0,0.0,0.314319720671105,0.3079320817360293,2526.741220223885,2522.983024691358
X-042085.tif,success_rerun_ruptures,Cooke Plains 2023,3179,3,1,27,31 + 37,Compass,0,0.0,0,0.0,28.734,0.384,148.0,173.4,0.2,5.1,0.904,14.0,10.28,2.175,1.41,1.3079999999999998,0.895,1.844,1.0,0.0,0.3436909240070054,0.3362565078366409,2470.635777755013,2455.1296296296296
X-042086.tif,success,Cooke Plains 2023,3182,3,1,28,31 + 37,Commodus CL,0,0.0,0,0.0,22.118,0.8333333333333334,145.6,175.4,0.1399999999999999,5.6,0.962,14.839999999999998,10.079999999999998,2.6399999999999997,1.528,1.248,0.942,1.8979999999999997,0.0,0.0,0.2541257385936345,0.2534245030310128,2475.6765201053327,2476.5570175438597
X-042087.tif,success,Cooke Plains 2023,3182,3,1,28,31 + 37,Commodus CL,0,0.0,0,0.0,22.118,0.8333333333333334,145.6,175.4,0.1399999999999999,5.6,0.962,14.839999999999998,10.079999999999998,2.6399999999999997,1.528,1.248,0.942,1.8979999999999997,0.0,0.0,0.2885532301194202,0.2849012716710971,2667.1780064464297,2648.3870381586917
X-042088.tif,success,Cooke Plains 2023,3182,3,1,28,31 + 37,Commodus CL,0,0.0,0,0.0,22.118,0.8333333333333334,145.6,175.4,0.1399999999999999,5.6,0.962,14.839999999999998,10.079999999999998,2.6399999999999997,1.528,1.248,0.942,1.8979999999999997,0.0,0.0,0.3692158735394488,0.366191559961911,2948.664371341372,2899.474575651156
X-042089.tif,success,Cooke Plains 2023,3182,3,1,28,31 + 37,Commodus CL,0,0.0,0,0.0,22.118,0.8333333333333334,145.6,175.4,0.1399999999999999,5.6,0.962,14.839999999999998,10.079999999999998,2.6399999999999997,1.528,1.248,0.942,1.8979999999999997,0.0,0.0,0.3042653712073095,0.2915348186657251,2838.385623448148,2787.2165492957747
X-042090.tif,success,Cooke Plains 2023,3182,3,1,28,31 + 37,Commodus CL,0,0.0,0,0.0,22.118,0.8333333333333334,145.6,175.4,0.1399999999999999,5.6,0.962,14.839999999999998,10.079999999999998,2.6399999999999997,1.528,1.248,0.942,1.8979999999999997,0.0,0.0,0.3307685015432831,0.3031981212339427,2718.1243171554,2642.834645669291
X-042091.tif,success,Cooke Plains 2023,3185,3,1,29,31 + 37,Zena CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.289624824238981,0.2821230935993568,2605.012218092491,2547.918367346939
X-042092.tif,success,Cooke Plains 2023,3185,3,1,29,31 + 37,Zena CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2497892959165648,0.2490285895259638,2538.8357084277695,2534.1214285714286
X-042093.tif,success,Cooke Plains 2023,3185,3,1,29,31 + 37,Zena CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2682857368185296,0.2685078484777436,2492.6821171603,2484.761061946903
X-042094.tif,success,Cooke Plains 2023,3185,3,1,29,31 + 37,Zena CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2629802265105428,0.261740819447158,2510.609727752854,2501.427272727273
X-042095.tif,success,Cooke Plains 2023,3185,3,1,29,31 + 37,Zena CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2290754061962331,0.2249417161304909,2466.3875412658494,2454.540204295443
X-042096.tif,success,Cooke Plains 2023,3188,3,1,30,31 + 37,Maximus CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2806193979393023,0.2797291990474062,2461.7464437296953,2445.0285714285715
X-042097.tif,success,Cooke Plains 2023,3188,3,1,30,31 + 37,Maximus CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.299129743679712,0.2934440676562186,2667.6845451326003,2617.013574660634
X-042098.tif,success,Cooke Plains 2023,3188,3,1,30,31 + 37,Maximus CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2663907944737761,0.2685706958581323,2588.42313013053,2585.6208102242585
X-042099.tif,success,Cooke Plains 2023,3188,3,1,30,31 + 37,Maximus CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2662804593642424,0.261243183675668,2588.159339475671,2581.3699811053375
X-042100.tif,success,Cooke Plains 2023,3188,3,1,30,31 + 37,Maximus CL,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2625185696692009,0.2659440399443433,2581.0817114926685,2562.6015050167225
X-042101.tif,success,Cooke Plains 2023,3102,1,2,1,UTC,RGT Planet,0,0.0,0,0.0,28.1125,0.835,159.8,174.8,0.16,9.34,1.168,17.3,14.56,6.88,1.844,1.604,1.1880000000000002,2.094,2.0,0.0,0.3340368442648891,0.3225627121637675,2706.4641562058923,2672.3689868639585
X-042102.tif,success,Cooke Plains 2023,3102,1,2,1,UTC,RGT Planet,0,0.0,0,0.0,28.1125,0.835,159.8,174.8,0.16,9.34,1.168,17.3,14.56,6.88,1.844,1.604,1.1880000000000002,2.094,2.0,0.0,0.3288219369073133,0.3303110072235442,2694.790775264039,2683.254794973545
X-042103.tif,success,Cooke Plains 2023,3102,1,2,1,UTC,RGT Planet,0,0.0,0,0.0,28.1125,0.835,159.8,174.8,0.16,9.34,1.168,17.3,14.56,6.88,1.844,1.604,1.1880000000000002,2.094,2.0,0.0,0.3737944065606717,0.3637156895063357,2835.1121349935943,2801.0042918454938
X-042104.tif,success,Cooke Plains 2023,3102,1,2,1,UTC,RGT Planet,0,0.0,0,0.0,28.1125,0.835,159.8,174.8,0.16,9.34,1.168,17.3,14.56,6.88,1.844,1.604,1.1880000000000002,2.094,2.0,0.0,0.3377550375923059,0.3402228584798018,2514.60602762474,2458.245614035088
X-042105.tif,success,Cooke Plains 2023,3102,1,2,1,UTC,RGT Planet,0,0.0,0,0.0,28.1125,0.835,159.8,174.8,0.16,9.34,1.168,17.3,14.56,6.88,1.844,1.604,1.1880000000000002,2.094,2.0,0.0,0.4817063793474697,0.3961551657422777,2899.9392832224835,2864.10460251046
X-042106.tif,success,Cooke Plains 2023,3105,1,2,2,UTC,Schooner,0,0.0,0,41.333333333333336,,,,,,,,,,,,,,,,,0.3636885079661874,0.3558671847369207,2761.750738306909,2735.730769230769
X-042107.tif,success,Cooke Plains 2023,3105,1,2,2,UTC,Schooner,0,0.0,0,41.333333333333336,,,,,,,,,,,,,,,,,0.3717407923438658,0.3653713220483185,2786.7788156696897,2777.638655462185
