filename,plot no,block/rep,bay,row,Treatment Simple,Variety,2024-11-22 00:00:00,2024-11-29 00:00:00,2024-12-04 00:00:00,2024-12-13 00:00:00,2024-12-17 00:00:00,High lodging/brackling,comp disp,f at break,spike angle,ped curvature,leaf sheath cover,spike Length,spike weight,ped length,internode Length,dist from break,ped dm b,ped dm m,ped dm t,dm at node 2,freq of break at spike,brk at node 2,mean_wall_thickness_mm,median_wall_thickness_mm,mean_per_mm_intensity,median_per_mm_intensity
X-049551.tif,11,2,1,11,37,Laperouse,0.4444444444444444,0.8888888888888888,1.3333333333333333,4.444444444444445,4.444444444444445,N,51.983999999999995,0.21000000000000002,80.8,174.8,0.0,5.32,1.068,14.739999999999998,10.58,2.66,1.8079999999999998,1.5979999999999999,1.05,2.934,0.0,1.0,0.2638768228074676,0.2641667530271191,2411.917058330508,2390.347899159664
X-049552.tif,11,2,1,11,37,Laperouse,0.4444444444444444,0.8888888888888888,1.3333333333333333,4.444444444444445,4.444444444444445,N,51.983999999999995,0.21000000000000002,80.8,174.8,0.0,5.32,1.068,14.739999999999998,10.58,2.66,1.8079999999999998,1.5979999999999999,1.05,2.934,0.0,1.0,0.2859597556010221,0.2901450832449974,2436.226994516315,2409.535433070866
X-049553.tif,11,2,1,11,37,Laperouse,0.4444444444444444,0.8888888888888888,1.3333333333333333,4.444444444444445,4.444444444444445,N,51.983999999999995,0.21000000000000002,80.8,174.8,0.0,5.32,1.068,14.739999999999998,10.58,2.66,1.8079999999999998,1.5979999999999999,1.05,2.934,0.0,1.0,0.2858768609109759,0.2863127153852423,2503.3067995714428,2501.4772727272725
X-049554.tif,11,2,1,11,37,Laperouse,0.4444444444444444,0.8888888888888888,1.3333333333333333,4.444444444444445,4.444444444444445,N,51.983999999999995,0.21000000000000002,80.8,174.8,0.0,5.32,1.068,14.739999999999998,10.58,2.66,1.8079999999999998,1.5979999999999999,1.05,2.934,0.0,1.0,0.2717098506012695,0.274536714560207,2389.4845361284024,2389.612612612613
X-049555.tif,11,2,1,11,37,Laperouse,0.4444444444444444,0.8888888888888888,1.3333333333333333,4.444444444444445,4.444444444444445,N,51.983999999999995,0.21000000000000002,80.8,174.8,0.0,5.32,1.068,14.739999999999998,10.58,2.66,1.8079999999999998,1.5979999999999999,1.05,2.934,0.0,1.0,0.3101825630007305,0.3067601593486718,2472.0305567810424,2455.1803278688526
X-049556.tif,12,2,1,12,37,Commodus CL,3.111111111111111,5.333333333333333,9.777777777777777,14.666666666666666,21.333333333333332,N,46.096,0.364,43.2,169.6,0.9,5.619999999999999,1.27,15.419999999999998,10.020000000000001,4.8,1.698,1.4599999999999997,0.844,2.8419999999999996,0.0,0.0,0.4130658608633767,0.4096635730296399,2627.9065120526657,2614.627610310179
X-049557.tif,12,2,1,12,37,Commodus CL,3.111111111111111,5.333333333333333,9.777777777777777,14.666666666666666,21.333333333333332,N,46.096,0.364,43.2,169.6,0.9,5.619999999999999,1.27,15.419999999999998,10.020000000000001,4.8,1.698,1.4599999999999997,0.844,2.8419999999999996,0.0,0.0,0.407865296062499,0.3454124730579774,2727.5877307126257,2594.7375205254516
X-049558.tif,12,2,1,12,37,Commodus CL,3.111111111111111,5.333333333333333,9.777777777777777,14.666666666666666,21.333333333333332,N,46.096,0.364,43.2,169.6,0.9,5.619999999999999,1.27,15.419999999999998,10.020000000000001,4.8,1.698,1.4599999999999997,0.844,2.8419999999999996,0.0,0.0,0.2372598829565188,0.2360287897502658,2483.2944946421912,2479.2972972972975
X-049559.tif,12,2,1,12,37,Commodus CL,3.111111111111111,5.333333333333333,9.777777777777777,14.666666666666666,21.333333333333332,N,46.096,0.364,43.2,169.6,0.9,5.619999999999999,1.27,15.419999999999998,10.020000000000001,4.8,1.698,1.4599999999999997,0.844,2.8419999999999996,0.0,0.0,0.2685122177226275,0.2627775397839452,2467.8387284517994,2466.6605504587155
X-049560.tif,12,2,1,12,37,Commodus CL,3.111111111111111,5.333333333333333,9.777777777777777,14.666666666666666,21.333333333333332,N,46.096,0.364,43.2,169.6,0.9,5.619999999999999,1.27,15.419999999999998,10.020000000000001,4.8,1.698,1.4599999999999997,0.844,2.8419999999999996,0.0,0.0,0.263391007893154,0.2567175930905525,2487.687028874416,2492.6525435073627
X-049561.tif,13,2,1,13,37,Maximus CL,0.0,1.3333333333333333,2.6666666666666665,5.777777777777778,7.111111111111111,N,34.048,0.4166666666666667,63.6,174.8,1.0399999999999998,5.84,1.114,10.78,8.719999999999999,2.9799999999999995,1.6,1.4579999999999997,1.04,2.7380000000000004,0.0,0.0,0.2543667759496832,0.246788117187718,2371.512887738868,2371.856655844156
X-049562.tif,13,2,1,13,37,Maximus CL,0.0,1.3333333333333333,2.6666666666666665,5.777777777777778,7.111111111111111,N,34.048,0.4166666666666667,63.6,174.8,1.0399999999999998,5.84,1.114,10.78,8.719999999999999,2.9799999999999995,1.6,1.4579999999999997,1.04,2.7380000000000004,0.0,0.0,0.2668018420350875,0.2695092873305293,2401.647335279796,2392.82962962963
X-049563.tif,13,2,1,13,37,Maximus CL,0.0,1.3333333333333333,2.6666666666666665,5.777777777777778,7.111111111111111,N,34.048,0.4166666666666667,63.6,174.8,1.0399999999999998,5.84,1.114,10.78,8.719999999999999,2.9799999999999995,1.6,1.4579999999999997,1.04,2.7380000000000004,0.0,0.0,0.3044988988107942,0.3042237315958485,2393.101396492859,2387.6254042637447
X-049564.tif,13,2,1,13,37,Maximus CL,0.0,1.3333333333333333,2.6666666666666665,5.777777777777778,7.111111111111111,N,34.048,0.4166666666666667,63.6,174.8,1.0399999999999998,5.84,1.114,10.78,8.719999999999999,2.9799999999999995,1.6,1.4579999999999997,1.04,2.7380000000000004,0.0,0.0,0.3411762813111564,0.3608195279419769,2456.2899349937347,2435.005617977528
X-049565.tif,13,2,1,13,37,Maximus CL,0.0,1.3333333333333333,2.6666666666666665,5.777777777777778,7.111111111111111,N,34.048,0.4166666666666667,63.6,174.8,1.0399999999999998,5.84,1.114,10.78,8.719999999999999,2.9799999999999995,1.6,1.4579999999999997,1.04,2.7380000000000004,0.0,0.0,0.3077609525449267,0.3003257635784694,2476.8430934251705,2474.0599423015283
X-049566.tif,14,2,1,14,37,RGT Planet,0.8888888888888888,3.111111111111111,2.2222222222222223,3.111111111111111,18.22222222222222,N,31.483999999999998,0.422,74.0,175.0,1.0,7.6800000000000015,1.2879999999999998,14.74,11.86,4.02,1.786,1.472,1.108,2.7180000000000004,0.0,0.0,0.3574016138599961,0.3712199772037856,2381.103019659765,2372.747747747748
X-049567.tif,14,2,1,14,37,RGT Planet,0.8888888888888888,3.111111111111111,2.2222222222222223,3.111111111111111,18.22222222222222,N,31.483999999999998,0.422,74.0,175.0,1.0,7.6800000000000015,1.2879999999999998,14.74,11.86,4.02,1.786,1.472,1.108,2.7180000000000004,0.0,0.0,0.2398600992597898,0.2514004219857574,2375.8086163782514,2372.06031721824
X-049568.tif,14,2,1,14,37,RGT Planet,0.8888888888888888,3.111111111111111,2.2222222222222223,3.111111111111111,18.22222222222222,N,31.483999999999998,0.422,74.0,175.0,1.0,7.6800000000000015,1.2879999999999998,14.74,11.86,4.02,1.786,1.472,1.108,2.7180000000000004,0.0,0.0,0.3721164610486145,0.3659715304706285,2505.087854686485,2473.0963488843813
X-049569.tif,14,2,1,14,37,RGT Planet,0.8888888888888888,3.111111111111111,2.2222222222222223,3.111111111111111,18.22222222222222,N,31.483999999999998,0.422,74.0,175.0,1.0,7.6800000000000015,1.2879999999999998,14.74,11.86,4.02,1.786,1.472,1.108,2.7180000000000004,0.0,0.0,0.3487942558188713,0.3321318257881472,2524.3956110081695,2514.86
